original_file,original_path,visual_description,suggested_section,suggested_logical_name,duplicate,notes
499b54154ad0c837aed5b75c4f718c5e.png.jpeg,图片/499b54154ad0c837aed5b75c4f718c5e.png.jpeg,Green outdoor creative classroom promotion,stories,outdoorCreativeClassroomPromotion,no,1842x1034 JPEG; contains 990/3次 promotional text
51d47929bfa65594a2efec9fcc02b012.png,图片/51d47929bfa65594a2efec9fcc02b012.png,Xiaohai Fairy Tales blue castle logo,shared,xiaohaiFairyTalesLogo,no,164x164 PNG
594fd60fb438ee6ed9d124daedd90e45.jpg,图片/594fd60fb438ee6ed9d124daedd90e45.jpg,Illustrated independent-reading promotion,stories,independentReadingPromotion,no,2560x1440 JPEG; visible AI-generated watermark; do not publish without review
673f4b15ad3e9db39c3f49d42239c093.png,图片/673f4b15ad3e9db39c3f49d42239c093.png,Author creation camp promotion with landscape illustration,ai,authorCreationCampPromotion,no,310x258 PNG; contains ¥5999 promotional text
6f0d0e6d1055f805140af0049c85631a.png,图片/6f0d0e6d1055f805140af0049c85631a.png,Black XIAOHAI wordmark,shared,xiaohaiWordmark,no,127x45 PNG
72a31c645c7f6aa53740011e439c8dcc.jpg,图片/72a31c645c7f6aa53740011e439c8dcc.jpg,DoDo's Hairy Day book cover,shop,dodosHairyDayCoverOriginal,no,1932x2172 JPEG; original larger source
881dd86d17ad6f8f698842805952fcb0.png,图片/881dd86d17ad6f8f698842805952fcb0.png,The Journey of Panda Music Box book cover,shop,pandaMusicBoxCoverOriginal,no,649x596 PNG; canonical file for identical pair
97dee94b2020215de03f132dfbca6edc.png,图片/97dee94b2020215de03f132dfbca6edc.png,Author creation camp promotion with purple city illustration,ai,authorCreationCampCityPromotion,no,306x263 PNG; contains ¥3999 promotional text
98f4458c92353ef6f325e315c145ce33.png,图片/98f4458c92353ef6f325e315c145ce33.png,Blue calculator illustration,shop,calculatorIcon,no,90x90 PNG; generic legacy 3D icon
b518e5bb3b3d5c2aa0cf91f0aacadd8b.png,图片/b518e5bb3b3d5c2aa0cf91f0aacadd8b.png,Person reading with headset illustration,stories,audioReadingIcon,no,90x90 PNG; generic legacy 3D icon
big_380ebb63a00b19c66daec2bff3637593.png,图片/big_380ebb63a00b19c66daec2bff3637593.png,Dinosaurs Need a Big Hand book cover,shop,dinosaursNeedBigHandCover,no,799x800 PNG
big_3c0d665b10ed592b74b776074fa97fdf.jpg,图片/big_3c0d665b10ed592b74b776074fa97fdf.jpg,Pew Pew Tiger and his magic puffs product cover,shop,pewPewTigerCoverProduct,yes,732x800 JPEG; resized/cropped derivative of 3c0d665b10ed592b74b776074fa97fdf.jpg
big_72a31c645c7f6aa53740011e439c8dcc.jpg,图片/big_72a31c645c7f6aa53740011e439c8dcc.jpg,DoDo's Hairy Day product cover,shop,dodosHairyDayCoverProduct,yes,711x800 JPEG; resized/cropped derivative of 72a31c645c7f6aa53740011e439c8dcc.jpg
big_881dd86d17ad6f8f698842805952fcb0.png,图片/big_881dd86d17ad6f8f698842805952fcb0.png,The Journey of Panda Music Box book cover,shop,pandaMusicBoxCoverDuplicate,yes,649x596 PNG; pixel-identical to 881dd86d17ad6f8f698842805952fcb0.png
big_922c4ce3663df0954434a6f203c708d7.png,图片/big_922c4ce3663df0954434a6f203c708d7.png,Yun's Diary book cover,shop,yunsDiaryCover,no,800x800 PNG
big_c0fc805c4697f92206e128ee5553f606.png,图片/big_c0fc805c4697f92206e128ee5553f606.png,Open illustrated book and framed artwork product photo,shop,illustratedBookDisplayDuplicate,yes,240x180 PNG; pixel-identical to c0fc805c4697f92206e128ee5553f606.png
c0fc805c4697f92206e128ee5553f606.png,图片/c0fc805c4697f92206e128ee5553f606.png,Open illustrated book and framed artwork product photo,shop,illustratedBookDisplay,no,240x180 PNG; canonical file for identical pair
c16393ec987843cdab0b8d2c248e30ba.png,图片/c16393ec987843cdab0b8d2c248e30ba.png,Yellow shopping cart illustration,shop,shoppingCartIcon,no,90x90 PNG; generic legacy 3D icon
c7cf28cfe1e9c04f0cb7400ccdcd8e78.png,图片/c7cf28cfe1e9c04f0cb7400ccdcd8e78.png,Purple house illustration,pangzhu,storeHomeIcon,no,90x90 PNG; generic legacy 3D icon
co-bag.png,图片/co-bag.png,领取优惠券 banner with floating coupon graphics,shop,couponClaimBanner,no,574x250 PNG; transparent background
d3539512e56c42699ad4df46becf9c31.png,图片/d3539512e56c42699ad4df46becf9c31.png,Presentation chart illustration,ai,presentationChartIcon,no,90x90 PNG; generic legacy 3D icon
e8d47e512f07f768d7205e0141d8907c.png,图片/e8d47e512f07f768d7205e0141d8907c.png,Purple VIP badge illustration,me,vipBadgeIcon,no,90x90 PNG; generic legacy 3D icon
f1cf595e184c8ef767cef6caeb352e9b.png,图片/f1cf595e184c8ef767cef6caeb352e9b.png,Purple children's English creative course promotion,stories,englishCreativeCoursePurple,no,1600x800 PNG; contains 990/3次 promotional text
right-icon.png,图片/right-icon.png,Black right-pointing chevron,shared,rightChevronIcon,no,26x26 PNG
